Baseline;FIR;FC_Net
2.95555872772614e-05;3.280781625725949e-05;2.009386964364934e-05
2.020975110529575e-05;2.3046287639387788e-05;1.4426295642569977e-05
4.1742041609368906e-05;3.153407759471265e-05;1.4927295590960892e-05
2.116646932001959e-05;2.3121016350910857e-05;1.5999791209015108e-05
0.000387060005958107;0.0003304549306949717;0.0001709123347267597
0.00012872614232818763;0.00010089737599091129;3.678828651139601e-05
0.00019454819265463555;0.00018437769567937134;9.525491644648197e-05
8.706295253224937e-05;7.759436656541821e-05;3.464276976264894e-05
8.940280546030044e-05;8.232793463119857e-05;4.2971987665971515e-05
5.054590022173337e-05;4.76831631573114e-05;2.4787812174015986e-05
3.1136008104131307e-05;3.5025826342071434e-05;2.7289265408429456e-05
0.0005208133648957545;0.0004004632841889246;0.0001695789030431811
0.00012621191495666134;0.0001365344739829899;8.784113570095694e-05
3.8434886869406735e-05;4.130170019904818e-05;1.951376203508352e-05
0.0002560382628487043;0.0002486042269126283;0.00012509684867818456
0.0004833349302615585;0.00043743425137273534;0.0002335422493218866
1.3634196695432759e-05;1.5132254781210029e-05;5.0845532439783115e-06
3.2889437003275265e-05;3.0690756662294215e-05;2.2209297738119868e-05
0.0003964378622747472;0.00036610759593255933;0.00019281063808364622
2.445231483412291e-06;7.786205502700173e-06;2.13176887657307e-06
2.24205204849507e-05;2.5086348165016244e-05;9.51537495457282e-06
3.310232403575793e-05;3.143911967160706e-05;2.136151960183074e-05
1.6393579585764623e-05;1.648138293217475e-05;8.465737814880034e-06
1.3522541796486466e-05;2.1129195658505108e-05;1.1635978560832808e-05
7.085719811998113e-06;1.4174254560837643e-05;5.199714752203467e-06
4.015063719076264e-05;4.0099751068255315e-05;2.3729593346658433e-05
0.00030444988107397483;0.00026862488790439424;0.00012089425200027012
0.00020369926099516038;0.0001790832899327457;9.263471398930622e-05
1.808068988233779e-05;2.3005473206271965e-05;1.3433637180748563e-05
0.00010822013037008423;9.507113820852691e-05;4.913937449686234e-05
0.00028639787837433066;0.00029732273027023283;0.0001679164896197242
8.371880720603909e-05;8.56922835535919e-05;3.966401361701583e-05
0.00028375875170228565;0.0003064026345080665;0.0001691551419509363
7.31723764567731e-05;5.829706349720175e-05;2.1247569578889057e-05
2.0240305630016672e-05;1.821077176864736e-05;7.556307443500473e-06
1.957365124984021e-05;1.9432619334208887e-05;7.79721034710356e-06
0.00014522309424894243;0.00013611085835038363;7.640236518705175e-05
0.0001901614685422047;0.00016759410587782983;8.85312098460527e-05
0.00015008432524612865;0.00013526525750702354;7.14509912659989e-05
0.0003847299290680517;0.0003266886368731887;0.00017842608218280936
1.4235293996166369e-05;2.0778024507143327e-05;1.0542300294242531e-05
2.8564730715384698e-05;3.1652005506944464e-05;1.3266615121245733e-05
8.450107642657165e-05;6.681197542917326e-05;3.4953520958580307e-05
0.00031749040421736495;0.0002498487508073472;0.0001301989550918905
1.468137187121315e-05;1.7121863845544932e-05;4.255960622455916e-06
0.00017997138322675557;0.0001395826533684427;3.07836891120865e-05
3.760007505649426e-05;3.7530747634099284e-05;1.8194636262531935e-05
1.4621609545845843e-05;1.7148039250797632e-05;8.462473678548197e-06
0.00017600104112888945;0.00016871613981047688;6.595305686405114e-05
2.7248459321377207e-06;7.918576866240947e-06;2.258272701736235e-06
2.6817556536722763e-06;7.792253934600175e-06;2.3619265962001565e-06
0.0004257180544330874;0.00035966618308777364;0.00019459222173416176
0.00026023524802079936;0.00023659462159846814;0.00010953435565280237
8.479231327184863e-05;8.444122901118439e-05;5.134379217076687e-05
8.902858278155228e-05;9.589464005501145e-05;4.3408911809417116e-05
0.00019071502399491979;0.00015031696246192857;5.5145558181971125e-05
0.00045908780147566866;0.0004640434388713535;0.00024554128433449686
5.623874673707152e-06;8.915605060688822e-06;3.7172440808100235e-06
2.662483561972298e-05;2.6550923458189405e-05;1.721150133737823e-05
4.396921314838014e-05;4.226468566508054e-05;2.2709448339108517e-05
0.00012279840038732288;0.00011985594120849647;5.004666081731557e-05
1.4751106782141682e-05;1.4529855382491434e-05;7.277871986080823e-06
2.403786455082528e-05;2.0983299097203157e-05;1.409243359169969e-05
1.4284787134642824e-05;1.6639034432476508e-05;7.595323115315327e-06
4.031756465728475e-05;3.796520499443602e-05;1.749855584132134e-05
3.363454274582158e-05;2.87343958498485e-05;1.3933070323560823e-05
2.8408311148164908e-05;3.125396473564217e-05;2.296699209898102e-05
4.2992797478523265e-05;3.731461561302856e-05;1.3719431872201714e-05
0.00010380756746014768;8.85364356522983e-05;3.377502062772424e-05
0.0001831619662861945;0.0001551760087979053;5.3131895733194624e-05
7.108255703480655e-06;1.7695580317578008e-05;6.9265472957805966e-06
4.406254862850338e-05;4.196195953794959e-05;2.0330837894821557e-05
5.4121066522988634e-05;4.4219174321595615e-05;1.7993303359180697e-05
3.998633876822382e-05;3.6087215135958346e-05;2.052894702591396e-05
0.00039679056303978217;0.00039843093808357514;0.00022519320488309012
7.543573797910167e-05;6.375085486421e-05;1.4360619114073947e-05
5.599602747016409e-05;5.644364460137857e-05;3.59930917158251e-05
0.0005701937922437702;0.0005900267321503511;0.00043458835671422605
4.617818120892333e-05;4.285222626277884e-05;3.563830500523475e-05
3.4743907187610293e-05;3.2589796130147344e-05;2.856423910984539e-05
0.00015505905568545224;0.00016558209395134928;9.299496200155965e-05
0.0001269933115391546;0.0001295306466924509;6.423544584758045e-05
0.0005740181809964291;0.0004945660438651301;0.00018972116887631737
3.5238626837506655e-05;2.883022288517546e-05;1.0751413541646603e-05
0.00012440310599884575;9.945698608537846e-05;4.342577050535674e-05
9.434046543425676e-05;9.7877641349826e-05;6.201049949436767e-05
0.000572618890335483;0.0005243650290542928;0.00029966859209396463
1.5205321843242452e-05;1.4319214590952907e-05;7.735126282431331e-06
0.00026730515365737867;0.00025258302986497813;0.00013852722193576412
7.781824425920366e-05;7.358644869928934e-05;3.326823666565966e-05
0.00028129417192672966;0.0003068990882339804;0.00017651152275535093
0.00022761719838433167;0.0001949667738327302;7.705633443923172e-05
0.00031774973605030684;0.0002872076137763414;0.0001601330294846739
1.58624461939643e-05;1.692837541010563e-05;7.300076301031286e-06
5.7613056751872765e-05;4.788689402661073e-05;1.4626019314646518e-05
5.416461857826626e-05;4.67949560519042e-05;2.022017512850934e-05
7.336253651184915e-06;1.028401701684602e-05;6.016488358315943e-06
0.00027476541397589344;0.00023192771814076774;0.000107182447557125
3.115534409616032e-05;2.7403683743698167e-05;1.2089033798924868e-05
3.172241694363758e-05;3.4766564322004123e-05;1.5070180042578116e-05
7.21747021513186e-05;6.216857086228814e-05;3.4748965926469865e-05
1.164540718730299e-05;1.2358394556885832e-05;8.36421399382237e-06
0.00034124933961037033;0.0003660673334841387;0.00023628277194085435
4.417856537782046e-05;3.5348366552152476e-05;2.974759888310099e-05
7.363811505971421e-05;5.941142970968087e-05;3.720387926386435e-05
6.196381827755167e-06;8.870968816195545e-06;2.5769381102369903e-06
1.8676170183755318e-05;1.8379476721247254e-05;7.375898448553804e-06
3.245340820128313e-05;2.6743947628820145e-05;9.976257495581065e-06
1.779545445001135e-05;2.1649589924946118e-05;7.281612832973326e-06
0.00019079625234547424;0.0001653833761374944;0.0001182343105743016
0.00024837796544238536;0.00026650912514930233;0.00017777934063943518
4.06231705862743e-05;3.424022402183657e-05;9.539676966692111e-06
3.517968571413313e-05;3.3668660579748776e-05;1.8241641216733827e-05
8.959774163638744e-05;8.501821300507081e-05;4.333324999982095e-05
3.6567079512941394e-05;3.138423500447532e-05;1.252334034337086e-05
8.304575390616875e-05;6.561915207627662e-05;1.8513458180731247e-05
0.00017008864538931587;0.00016506450085839393;0.0002292678525746307
